"","dayofweek","visib","num_accidents"
"289",5,6.2,0.442660550458716
"290",6,7.9,0.502293577981651
"291",7,8.8,0.745412844036697
"292",1,10,0.26605504587156
"293",2,10,0.309633027522936
"294",3,10,0.598623853211009
"295",4,10,0.424311926605505
"296",5,9.8,0.465596330275229
"297",6,9.9,0.635321100917431
"298",7,10,0.669724770642202
"299",1,10,0.621559633027523
"300",2,10,0.360091743119266
"301",3,10,0.607798165137615
"302",4,10,0.561926605504587
"303",5,10,0.465596330275229
"304",6,9.1,0.596330275229358
"305",7,6.3,0.814220183486238
"306",1,6.4,0.44954128440367
"307",2,8.8,0.137614678899083
"308",3,10,0.694954128440367
"309",4,10,0.355504587155963
"310",5,10,0.642201834862385
"311",6,7.1,0.667431192660551
"312",7,10,0.75
"313",1,10,0.495412844036697
"314",2,10,0.272935779816514
"315",3,10,0.231651376146789
"316",4,8.5,0.669724770642202
"317",5,10,0.545871559633027
"318",6,10,0.607798165137615
"319",7,10,0.600917431192661
"320",1,9.6,0.589449541284404
"321",2,6.8,0.405963302752294
"322",3,5,0.587155963302752
"323",4,9.8,0.561926605504587
"324",5,10,0.577981651376147
"325",6,10,0.626146788990826
"326",7,9.4,0.795871559633027
"327",1,9.6,0.415137614678899
"328",2,10,0.318807339449541
"329",3,10,0.814220183486238
"331",5,5.2,0.887614678899083
"332",6,9.4,0.169724770642202
"333",7,10,0.188073394495413
"334",1,10,0.284403669724771
"335",2,9.8,0.149082568807339
"336",3,7,0.444954128440367
"337",4,10,0.454128440366972
"338",5,9.8,0.378440366972477
"339",6,8.3,0.5
"340",7,3,0.926605504587156
"341",1,7.8,0.486238532110092
"342",2,10,0.231651376146789
"343",3,6.8,0.651376146788991
"344",4,6.7,0.422018348623853
"345",5,9.9,0.573394495412844
"346",6,10,0.672018348623853
"347",7,9.9,0.779816513761468
"348",1,8.1,0.768348623853211
"349",2,5.8,0.217889908256881
"350",3,10,0.653669724770642
"351",4,9,0.798165137614679
"352",5,8.7,0.793577981651376
"353",6,10,0.577981651376147
"354",7,8.3,0.731651376146789
"355",1,5.5,0.548165137614679
"356",2,2.1,0.344036697247706
"357",3,3.5,0.807339449541284
"358",4,8.8,0.36697247706422
"360",6,9.3,0.16743119266055
"361",7,10,0.277522935779817
"362",1,9.9,0.275229357798165
"363",2,6.9,0.0894495412844037
"364",3,8.8,0.277522935779817
"365",4,9.4,0.252293577981651
"366",5,10,0.0902777777777778
"367",6,5.8,0.5625
"368",7,0.8,0.145833333333333
"369",1,9.3,0.134259259259259
"371",3,2.5,0.365740740740741
"372",4,9.4,0.303240740740741
"373",5,10,0.592592592592593
"374",6,10,0.465277777777778
"375",7,9.7,0.710648148148148
"376",1,4.4,0.243055555555556
"377",2,5.5,0.0648148148148148
"378",3,9.2,0.481481481481481
"379",4,5.2,0.460648148148148
"380",5,6.5,0.516203703703704
"381",6,4.6,0.372685185185185
"382",7,6.7,0.530092592592593
"383",1,8.7,0.203703703703704
"384",2,10,0.0462962962962963
"385",3,10,0
"387",5,1.9,0.319444444444444
"388",6,9.7,0.583333333333333
"389",7,10,0.798611111111111
"390",1,8.5,0.266203703703704
"391",2,9.4,0.243055555555556
"392",3,8.8,0.349537037037037
"393",4,10,0.333333333333333
"394",5,6.3,0.668981481481482
"395",6,10,0.6875
"396",7,9.9,0.462962962962963
"397",1,10,0.340277777777778
"398",2,5.5,0.131944444444444
"400",4,10,0.585648148148148
"401",5,6.3,0.25
"402",6,8.6,0.483796296296296
"403",7,10,0.729166666666667
"404",1,10,0.148148148148148
"405",2,10,0.208333333333333
"406",3,9,0.736111111111111
"407",4,10,0.638888888888889
"408",5,10,0.648148148148148
"409",6,6.3,0.201388888888889
"410",7,5.7,1
"411",1,7.3,0.361111111111111
"412",2,7.5,0.240740740740741
"413",3,9.3,0.303240740740741
"414",4,9,0.365740740740741
"415",5,8.9,0.444444444444444
"416",6,7.1,0.453703703703704
"417",7,3.9,0.428240740740741
"418",1,7.1,0.525462962962963
"419",2,9.5,0.125
"420",3,9.7,0.483796296296296
"421",4,10,0.354166666666667
"422",5,8.9,0.349537037037037
"423",6,8.6,0.488425925925926
"424",7,9.7,0.68287037037037
"425",1,10,0.31712962962963
"427",3,7.45,0.185185185185185
"428",4,10,0.398148148148148
"429",5,9.4,0.303240740740741
"430",6,8.9,0.458333333333333
"431",7,10,0.400462962962963
"432",1,8.9,0.358796296296296
"433",2,10,0.101851851851852
"434",3,8.9,0.354166666666667
"435",4,8.15,0.347222222222222
"436",5,8,0.358796296296296
"437",6,4.45,0.428240740740741
"438",7,10,0.520833333333333
"439",1,9.1,0.368055555555556
"440",2,10,0.12037037037037
"441",3,10,0.368055555555556
"442",4,10,0.44212962962963
"443",5,10,0.381944444444444
"444",6,6.85,0.618055555555556
"445",7,9.6,0.530092592592593
"446",1,9.7,0.30787037037037
"447",2,10,0.155092592592593
"448",3,10,0.43287037037037
"449",4,10,0.263888888888889
"450",5,4.35,0.469907407407407
"451",6,10,0.412037037037037
"452",7,9.1,0.393518518518519
"453",1,4.8,0.483796296296296
"454",2,2.15,0.178240740740741
"455",3,6.1,0.460648148148148
"456",4,9.55,0.4375
"457",5,10,0.368055555555556
"458",6,9.3,0.537037037037037
"459",7,10,0.606481481481482
"460",1,7.4,0.509259259259259
"461",2,10,0.287037037037037
"462",3,10,0.400462962962963
"463",4,2.5,0.569444444444444
"464",5,9.6,0.543981481481482
"465",6,9.9,0.659722222222222
"466",7,8.8,0.576388888888889
"467",1,8.5,0.50462962962963
"468",2,9.3,0.282407407407407
"469",3,7,0.356481481481481
"470",4,6.6,0.212962962962963
"471",5,7.9,0.486111111111111
"472",6,10,0.342592592592593
"473",7,9.9,0.314814814814815
"474",1,10,0.381944444444444
"475",2,10,0.0763888888888889
"476",3,10,0.372685185185185
"477",4,10,0.229166666666667
"478",5,9.2,0.407407407407407
"479",6,10,0.523148148148148
"480",7,10,0.594907407407407
"481",1,8.85,0.435185185185185
"482",2,9.9,0.206018518518519
"483",3,10,0.548611111111111
"484",4,9.9,0.451388888888889
"485",5,9.45,0.673611111111111
"486",6,3.1,0.671296296296296
"487",7,6.25,0.782407407407407
"488",1,9.3,0.532407407407407
"489",2,9.8,0.210648148148148
"490",3,9.9,0.597222222222222
"491",4,9.8,0.474537037037037
"492",5,10,0.5625
"493",6,9.8,0.546296296296296
"494",7,8.9,0.518518518518518
"495",1,8,0.4375
"496",2,8.95,0.518518518518518
"497",3,9.9,0.511574074074074
"498",4,10,0.462962962962963
"499",5,10,0.643518518518518
"500",6,10,0.69212962962963
"501",7,9.1,0.787037037037037
"502",1,5.8,0.599537037037037
"503",2,9.8,0.340277777777778
"504",3,10,0.490740740740741
"505",4,9.9,0.671296296296296
"506",5,10,0.497685185185185
"507",6,8.6,0.539351851851852
"508",7,10,0.694444444444444
"509",1,10,0.291666666666667
"510",2,10,0.259259259259259
"511",3,9.6,0.168981481481481
"512",4,9.5,0.659722222222222
"513",5,2.6,0.412037037037037
"514",6,10,0.701388888888889
"515",7,9.95,0.671296296296296
"516",1,10,0.525462962962963
"517",2,10,0.564814814814815
"518",3,10,0.655092592592593
"519",4,10,0.701388888888889
"520",5,8.6,0.513888888888889
"521",6,4.9,0.483796296296296
"522",7,9.55,0.886574074074074
"523",1,9.95,0.608796296296296
"524",2,9.9,0.361111111111111
"525",3,8.55,0.388888888888889
"526",4,9.15,0.483796296296296
"527",5,9.3,0.5
"528",6,10,0.469907407407407
"529",7,4,0.805555555555556
"530",1,4.8,0.585648148148148
"531",2,10,0.266203703703704
"532",3,10,0.606481481481482
"533",4,10,0.708333333333333
"534",5,6.4,0.701388888888889
"535",6,9.7,0.729166666666667
"536",7,9.8,0.9375
"537",1,10,0.456018518518519
"538",2,9.9,0.270833333333333
"539",3,10,0.657407407407407
"540",4,10,0.62962962962963
"541",5,9.9,0.662037037037037
"542",6,3.5,0.717592592592593
"543",7,9.8,0.694444444444444
"544",1,9.5,0.581018518518518
"545",2,9.5,0.409722222222222
"546",3,10,0.578703703703704
"547",4,9.8,0.592592592592593
"548",5,7.2,0.689814814814815
"549",6,1.8,0.87962962962963
"550",7,3.9,0
"551",1,8.4,0.335648148148148
"552",2,10,0.210648148148148
"553",3,9.4,0.587962962962963
"554",4,6.2,0.541666666666667
"555",5,5.1,0.483796296296296
"556",6,5.4,0.518518518518518
"557",7,6.5,0.652777777777778
"558",1,9.9,0.439814814814815
"559",2,9.8,0.18287037037037
"560",3,7.4,0.479166666666667
"561",4,5.8,0.525462962962963
"562",5,6,0.44212962962963
"563",6,7.7,0.525462962962963
"564",7,9.6,0.611111111111111
"565",1,10,0.277777777777778
"566",2,9.1,0.210648148148148
"567",3,6,0.456018518518519
"568",4,5.9,0.525462962962963
"569",5,9.9,0.534722222222222
"570",6,6.4,0.414351851851852
"571",7,10,0.678240740740741
"572",1,9.8,0.402777777777778
"573",2,9.9,0.268518518518519
"574",3,4.8,0.543981481481482
"575",4,9.6,0.384259259259259
"576",5,9.3,0.56712962962963
"577",6,9.6,0.615740740740741
"578",7,9,0.710648148148148
"579",1,8.8,0.416666666666667
"580",2,6,0.268518518518519
"581",3,6,0.530092592592593
"582",4,3.7,0.569444444444444
"583",5,4.4,0.467592592592593
"584",6,9.2,0.520833333333333
"585",7,10,0.55787037037037
"586",1,9.9,0.412037037037037
"587",2,9.8,0.351851851851852
"588",3,7.8,0.564814814814815
"589",4,10,0.303240740740741
"590",5,8.4,0.490740740740741
"591",6,9.1,0.613425925925926
"592",7,10,0.375
"593",1,9.7,0.300925925925926
"594",2,8.3,0.268518518518519
"595",3,9.8,0.543981481481482
"596",4,8.8,0.361111111111111
"597",5,9.9,0.44212962962963
"598",6,10,0.479166666666667
"599",7,7.9,0.481481481481481
"600",1,9.8,0.217592592592593
"601",2,10,0.178240740740741
"602",3,10,0.4375
"603",4,10,0.574074074074074
"604",5,6.5,0.412037037037037
"605",6,6.8,0.597222222222222
"606",7,10,0.627314814814815
"607",1,10,0.347222222222222
"608",2,9.4,0.3125
"609",3,6.8,0.0740740740740741
"610",4,1.7,0.787037037037037
"611",5,8.1,0.509259259259259
"612",6,9.9,0.849537037037037
"613",7,8.7,0.664351851851852
"614",1,6.9,0.446759259259259
"615",2,9,0.270833333333333
"616",3,10,0.550925925925926
"617",4,10,0.537037037037037
"618",5,10,0.597222222222222
"619",6,9.7,0.599537037037037
"620",7,9.7,0.856481481481482
"621",1,9.6,0.458333333333333
"622",2,10,0.388888888888889
"623",3,10,0.578703703703704
"624",4,10,0.585648148148148
"625",5,9.8,0.689814814814815
"626",6,10,0.671296296296296
"627",7,10,0.666666666666667
"628",1,10,0.541666666666667
"629",2,8.1,0.358796296296296
"630",3,8.2,0.699074074074074
"631",4,10,0.537037037037037
"632",5,10,0.476851851851852
"633",6,8.6,0.303240740740741
"634",7,7.9,0.655092592592593
"635",1,9.9,0.555555555555556
"636",2,9.9,0.351851851851852
"637",3,9.2,0.476851851851852
"638",4,6.7,0.530092592592593
"639",5,7.1,0.460648148148148
"640",6,9.4,0.458333333333333
"641",7,9.2,0.831018518518518
"642",1,6.8,0.395833333333333
"643",2,9.6,0.335648148148148
"644",3,10,0.645833333333333
"645",4,10,0.601851851851852
"646",5,9.4,0.645833333333333
"647",6,9.7,0.321759259259259
"648",7,10,0.418981481481481
"649",1,8.1,0.430555555555556
"650",2,10,0.261574074074074
"651",3,10,0.210648148148148
"652",4,10,0.780092592592593
"653",5,9.9,0.497685185185185
"654",6,6.6,0.560185185185185
"655",7,7.9,0.666666666666667
"656",1,9,0.310185185185185
"657",2,10,0.284722222222222
"658",3,10,0.534722222222222
"659",4,9.3,0.571759259259259
"660",5,6.1,0.805555555555556
"661",6,8.7,0.645833333333333
"662",7,7.6,0.715277777777778
"663",1,10,0.358796296296296
"664",2,10,0.358796296296296
"665",3,10,0.652777777777778
"666",4,9.9,0.488425925925926
"667",5,8,0.453703703703704
"668",6,9.4,0.615740740740741
"669",7,10,0.712962962962963
"670",1,8.8,0.685185185185185
"671",2,6.3,0.398148148148148
"672",3,10,0.613425925925926
"673",4,10,0.412037037037037
"674",5,9.3,0.449074074074074
"675",6,9.4,0.675925925925926
"676",7,7.9,0.650462962962963
"677",1,10,0.423611111111111
"678",2,10,0.136574074074074
"679",3,9.6,0.462962962962963
"680",4,9.5,0.30787037037037
"681",5,6,0.430555555555556
"682",6,8.6,0.777777777777778
"683",7,9.7,0.680555555555556
"684",1,10,0.391203703703704
"685",2,10,0.159722222222222
"686",3,6.5,0.708333333333333
"687",4,7.8,0.814814814814815
"688",5,10,0.631944444444444
"689",6,9.8,0.636574074074074
"690",7,10,0.733796296296296
"691",1,10,0.351851851851852
"692",2,8.9,0.150462962962963
"693",3,4.5,0.837962962962963
"694",4,3.6,0.553240740740741
"695",5,6.7,0.884259259259259
"696",6,8.6,0.0416666666666667
"697",7,9.3,0.194444444444444
"698",1,10,0.0787037037037037
"699",2,9.9,0.0393518518518519
"700",3,7.4,0.657407407407407
"701",4,9.9,0.581018518518518
"702",5,6.1,0.483796296296296
"703",6,9.9,0.569444444444444
"704",7,9.8,0.724537037037037
"705",1,6.8,0.62037037037037
"706",2,8,0.30787037037037
"707",3,10,0.506944444444444
"708",4,5.8,0.659722222222222
"709",5,8.4,0.668981481481482
"710",6,9.5,0.715277777777778
"711",7,10,0.756944444444444
"712",1,9.9,0.541666666666667
"713",2,10,0.18287037037037
"714",3,9.9,0.833333333333333
"715",4,9.6,0.659722222222222
"716",5,8,0.451388888888889
"717",6,10,0.604166666666667
"718",7,10,0.675925925925926
"719",1,10,0.335648148148148
"720",2,9.8,0.113425925925926
"721",3,9.7,0.476851851851852
"722",4,6.6,0.861111111111111
"723",5,2.1,0.368055555555556
"725",7,10,0.199074074074074
"726",1,10,0.106481481481481
"728",3,9.9,0.118055555555556
"729",4,10,0.252314814814815
"730",5,9.9,0.233796296296296
"731",6,9.9,0.080338266384778
"732",7,10,0.179704016913319
"733",1,9.5,0.209302325581395
"734",2,1.9,0.0507399577167019
"735",3,7.6,0.298097251585624
"736",4,8.8,0.887949260042283
"737",5,9.4,0.382663847780127
"738",6,9.9,0.456659619450317
"739",7,9.5,0.832980972515856
"740",1,10,0.26215644820296
"742",3,7.7,0.471458773784355
"743",4,8.4,0.54122621564482
"744",5,8,0.315010570824524
"745",6,2.8,0.403805496828753
"746",7,10,0.435517970401691
"747",1,10,0.291754756871036
"749",3,8.2,0.293868921775899
"750",4,10,0.302325581395349
"751",5,10,0.291754756871036
"752",6,8.4,0.319238900634249
"753",7,10,0.509513742071882
"754",1,6.7,0.150105708245243
"755",2,9.4,0.103594080338266
"756",3,6.7,0.268498942917548
"758",5,6.6,0.213530655391121
"759",6,10,0.342494714587738
"760",7,8.4,0.560253699788584
"761",1,7.8,0.357293868921776
"762",2,10,0.00845665961945032
"763",3,5.7,0.682875264270613
"764",4,9.3,0.809725158562368
"765",5,10,0.482029598308668
"766",6,7.2,0.448202959830867
"767",7,9.8,0.623678646934461
"768",1,9.5,0.194503171247357
"769",2,7.6,0.0782241014799154
"770",3,6.3,0.40169133192389
"771",4,7.4,0.452431289640592
"772",5,9.9,0.534883720930233
"773",6,8.9,0.357293868921776
"774",7,8.1,0.845665961945032
"775",1,8.6,0.167019027484144
"776",2,4.6,0.20507399577167
"777",3,8.6,0.0951374207188161
"778",4,6.5,0.556025369978858
"779",5,10,0.568710359408034
"780",6,6.9,0.334038054968288
"781",7,9.5,0.558139534883721
"782",1,10,0.338266384778013
"783",2,2.6,0.342494714587738
"784",3,6,0.45877378435518
"785",4,10,0.471458773784355
"786",5,7.9,0.572938689217759
"787",6,7.5,0.384778012684989
"788",7,10,0.731501057082452
"789",1,10,0.382663847780127
"790",2,9.1,0.710359408033827
"791",3,6.8,0.619450317124736
"792",4,10,0.579281183932347
"793",5,3.1,0.45877378435518
"794",6,1.6,1
"796",1,9.9,0.46723044397463
"797",2,9.2,0.226215644820296
"798",3,9.6,0.642706131078224
"799",4,9.9,0.479915433403805
"800",5,5,0.439746300211416
"801",6,10,0.484143763213531
"802",7,10,0.53276955602537
"803",1,5.8,0.317124735729387
"804",2,7,0.215644820295983
"805",3,9,0.363636363636364
"806",4,7.9,0.361522198731501
"807",5,10,0.40169133192389
"808",6,10,0.47568710359408
"809",7,9,0.450317124735729
"810",1,7,0.317124735729387
"811",2,9.4,0.158562367864693
"812",3,10,0.484143763213531
"813",4,10,0.515856236786469
"814",5,9.9,0.382663847780127
"815",6,4.2,0.355179704016913
"816",7,5.1,0.369978858350951
"817",1,7.8,0.215644820295983
"818",2,9.5,0.312896405919662
"819",3,9.8,0.420718816067653
"820",4,9.8,0.572938689217759
"821",5,9.8,0.615221987315011
"822",6,9.9,0.625792811839323
"823",7,5.9,0.283298097251586
"824",1,4.8,0.317124735729387
"825",2,10,0.137420718816068
"826",3,9.5,0.323467230443975
"827",4,8.6,0.200845665961945
"828",5,10,0.211416490486258
"829",6,4.5,0.200845665961945
"830",7,3.6,0.272727272727273
"831",1,5.1,0.463002114164905
"832",2,10,0.181818181818182
"833",3,10,0.416490486257928
"834",4,8.9,0.391120507399577
"835",5,8.3,0.503171247357294
"836",6,10,0.429175475687104
"837",7,6.9,0.680761099365751
"838",1,7.3,0.52431289640592
"839",2,9.9,0.241014799154334
"840",3,8.5,0.577167019027484
"841",4,3.6,0.608879492600423
"842",5,10,0.446088794926004
"843",6,9.8,0.539112050739958
"844",7,10,0.674418604651163
"845",1,9.9,0.496828752642706
"846",2,9.8,0.25369978858351
"847",3,10,0.424947145877378
"848",4,9.8,0.54122621564482
"849",5,9.8,0.680761099365751
"850",6,10,0.59830866807611
"851",7,9.6,0.602536997885835
"852",1,10,0.386892177589852
"853",2,9.9,0.418604651162791
"854",3,9.9,0.600422832980973
"855",4,9.8,0.594080338266385
"856",5,9.7,0.446088794926004
"857",6,9.8,0.691331923890063
"858",7,7.1,0.744186046511628
"859",1,4.4,0.429175475687104
"860",2,0.8,0.405919661733615
"861",3,0.8,0.608879492600423
"862",4,0.9,0.691331923890063
"863",5,8.7,0.630021141649049
"864",6,10,0.627906976744186
"865",7,10,0.773784355179704
"866",1,9.9,0.619450317124736
"867",2,9.4,0.39323467230444
"868",3,5.7,0.441860465116279
"869",4,2.3,0.526427061310782
"870",5,6.1,0.653276955602537
"871",6,10,0.545454545454545
"872",7,9.1,0.782241014799154
"873",1,10,0.399577167019027
"874",2,10,0.158562367864693
"875",3,10,0.133192389006343
