"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","visib","number_of_accidents"
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,10,0.41743119266055
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,5.9,0.447247706422018
"59",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,7.2,0.371559633027523
"60",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,9.4,0.568807339449541
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,10,0.272935779816514
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,10,0.337155963302752
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,10,0.555045871559633
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,9.9,0.394495412844037
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,9.4,0.275229357798165
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,4.1,0.412844036697248
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,9.9,0.490825688073394
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,10,0.137614678899083
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,10,0.38302752293578
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,7.5,0.440366972477064
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,7.1,0.644495412844037
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,9.7,0.463302752293578
"73",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,10,0.577981651376147
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,10,0.380733944954128
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,9.9,0.162844036697248
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,10,0.614678899082569
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,4.6,0.467889908256881
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,10,0.424311926605505
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,9.8,0.350917431192661
"80",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,6.8,0.571100917431193
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,10,0.305045871559633
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,10,0.220183486238532
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,10,0.327981651376147
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,9.7,0.160550458715596
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,10,0.197247706422018
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,9.9,0.444954128440367
"87",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,10,0.378440366972477
"88",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,10,0.362385321100917
"89",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,10,0.162844036697248
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,6.8,0.284403669724771
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,9.9,0.188073394495413
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,10,0.405963302752294
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,10,0.48394495412844
"94",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,8.7,0.520642201834862
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,10,0.403669724770642
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,10,0.220183486238532
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,9.1,0.520642201834862
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,6.7,0.591743119266055
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,7.6,0.51605504587156
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,6.6,0.371559633027523
"101",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,7.7,0.674311926605505
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,8.2,0.458715596330275
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,9.6,0.268348623853211
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,10,0.568807339449541
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,10,0.479357798165138
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,8.3,0.412844036697248
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,10,0.454128440366972
"108",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,4.6,0.493119266055046
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,3.6,0.405963302752294
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,10,0.26605504587156
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,10,0.481651376146789
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,5.1,0.362385321100917
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,7,0.557339449541284
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,7.2,0.522935779816514
"115",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,9.5,0.73394495412844
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,8.6,0.371559633027523
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,9.8,0.194954128440367
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,9.9,0.557339449541284
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,10,0.506880733944954
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,7.4,0.506880733944954
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,9.5,0.527522935779816
"122",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,9.9,0.759174311926605
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,10,0.51605504587156
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,9.7,0.36697247706422
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,5.1,0.472477064220183
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,4.4,0.543577981651376
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,7.5,0.607798165137615
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,5,0.56651376146789
"129",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,5.7,0.786697247706422
